ags,year,population
09763,2020,68940
09763,2021,69053
09763,2022,65229
09763,2023,65933
09763,2024,67645
09763,2025,67916
05966,2018,134775
05966,2019,133955
05966,2020,133362
05966,2021,133120
05966,2022,132519
05966,2023,132426
05966,2024,132346
05966,2025,131265
03361,2018,136792
03361,2019,137133
03361,2020,137574
03361,2021,138507
03361,2022,137793
03361,2023,138273
03361,2024,138626
03361,2025,138895
01058,2018,272775
01058,2019,274098
01058,2020,274765
01058,2021,276053
01058,2022,276964
01058,2023,277888
01058,2024,278058
01058,2025,277263
03252,2018,148559
03252,2019,148549
03252,2020,148580
03252,2021,148963
03252,2022,150717
03252,2023,150535
03252,2024,150203
03252,2025,149773
06632,2018,120829
06632,2019,120719
